DESCRIPTIO,SITE,SITEDESCRI,Category,
Playground Equipment-Springy Ladybird,23367,Babich Reserve,Playground Equipment-Springy Ladybird,
Playground Equipment-Springy Tractor,21644,Dickey Reserve,Playground Equipment-Springy Tractor,
Playground Equipment-Stepping Logs,24050,Trusts Esplanade Reserve,Playground Equipment-Stepping Logs,
Playground Equipment-Stepping Logs,11369,Titirangi Beach,Playground Equipment-Stepping Logs,
Playground Equipment-Stepping Logs,21649,Brydon Place Reserve,Playground Equipment-Stepping Logs,
Playground Equipment-Stepping Logs,20513,Kemp Park,Playground Equipment-Stepping Logs,
Playground Equipment-Stepping Pod,20892,Hindmarsh Green,Playground Equipment-Stepping Pod,
Playground Equipment-Stepping Pod,22537,Tatyana Park,Playground Equipment-Stepping Pod,
Playground Equipment-Supernova,11482,Olympic Park,Playground Equipment-Supernova,
Playground Equipment-Supernova,22014,Zita Maria Park,Playground Equipment-Supernova,
Playground Equipment-Supernova,23367,Babich Reserve,Playground Equipment-Supernova,
Playground Equipment-Supernova,11479,Neville Power Memorial Park,Playground Equipment-Supernova,
Playground Equipment-Supernova,11391,Henderson Valley Park,Playground Equipment-Supernova,
Playground Equipment-Supernova,11435,Te Atatu Peninsula Park,Playground Equipment-Supernova,
Playground Equipment-Supernova,21649,Brydon Place Reserve,Playground Equipment-Supernova,
Playground Equipment-Supernova,11369,Titirangi Beach,Playground Equipment-Supernova,
Playground Equipment-Swing Double,20502,Lockington Green,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11350,Swanson Station Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11389,Kaikoura Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11342,Riverpark Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22577,Tamariki Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11330,Township Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20506,Kelman Square,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22502,Cron Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21975,Paremuka Lakeside,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22495,Don Buck Corner,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11482,Olympic Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22018,Urlich Esplanade Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22052,Rhinevale Close,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22568,Sunvue Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11488,McLeod Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20923,Withers Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22048,Reynella Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22637,Barrys Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21021,Virgo Common,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11338,Patts Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22487,Dalmatia Green,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21226,Epping Esplanade,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21817,Murillo Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22554,Takaranga Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21841,Manutewhau Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21792,Gus Nola Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22010,Foothills Lane Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11385,Kaurilands Domain,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20509,Kelvin Strand,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11430,Brains Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21423,Laingholm Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20892,Hindmarsh Green,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20857,Lydford Green,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20706,Mcclintock Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11431,Bruce Mclaren Memorial Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22106,Sarajevo Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21281,Gallony Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11469,Harold Moody Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22675,Annison Green,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11420,Starling Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,23367,Babich Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22014,Zita Maria Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20605,Huia Domain,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22131,San Bernadino Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11401,Taipari Strand,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21877,Onedin Green,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11383,Kingdale Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11479,Neville Power Memorial Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22516,Spargo Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21048,Waima Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21962,Blueridge Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22527,Corran Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22516,Spargo Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11339,Prospect Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20841,Kensington Gardens,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20857,Lydford Green,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22068,Royal Heights Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11460,Tui Glen Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20572,Keegan Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22560,Semillon Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21845,Melia Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11444,Jack Pringle Village Green,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22574,Taitapu Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,23367,Babich Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20532,Robert Knox Memorial Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22563,St Margarets Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21766,Pooks Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11391,Henderson Valley Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22578,Tangiwai Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11341,Ranui Domain,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11361,Woodlands Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11482,Olympic Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20949,Olive Grove,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21704,Ferngrove Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22639,Bridge Avenue Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21636,Bellgrove Reserve West,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,23622,West Harbour Esplanade - West,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22482,Crum Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11381,Glen Norman Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21826,Nicolas Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11486,Moire Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22514,Clarence Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21116,Glendene Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22672,Alan Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20513,Kemp Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,10391,Blockhouse Bay Beach Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21517,Chalmers Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21692,Henry Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,10279,Canal Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,10187,Avondale Central Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,10368,Blockhouse Bay Recreation Res,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,10368,Blockhouse Bay Recreation Res,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21598,Temuka Gardens,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21677,Taramea Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,10247,Orchard Reserve - Avondale,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21534,Miranda Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21660,Fonteyn Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,10107,Eastdale Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22482,Crum Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21097,Hinau Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11417,La Rosa Garden Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11490,Mason Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21063,Wood Bay Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21245,Featherstone Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11418,Lawson Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22525,Copley Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11368,Durham Green,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,21136,Green Bay Domain,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20779,Maui Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,22674,Ambrico Reserve,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,11372,Waitakere War Memorial Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double,20886,Lone Tree Park,Playground Equipment-Swing Double,
Playground Equipment-Swing Double-Junior,10391,Blockhouse Bay Beach Reserve,Playground Equipment-Swing Double-Junior,
Playground Equipment-Swing Hexagon,11374,Triangle Park,Playground Equipment-Swing Hexagon,
Playground Equipment-Swing Hexagon,11482,Olympic Park,Playground Equipment-Swing Hexagon,
Playground Equipment-Swing Hexagon,11376,Te Pai Park,Playground Equipment-Swing Hexagon,
Playground Equipment-Swing Hexagonal,11335,Parrs Park,Playground Equipment-Swing Hexagonal,
Playground Equipment-Swing Quad,21167,Hart Domain,Playground Equipment-Swing Quad,
Playground Equipment-Swing Quad,11337,Piha Domain,Playground Equipment-Swing Quad,
Playground Equipment-Swing Quad,21649,Brydon Place Reserve,Playground Equipment-Swing Quad,
Playground Equipment-Swing Quad,21321,Xena Park,Playground Equipment-Swing Quad,
Playground Equipment-Swing Quad,11455,Barron Green,Playground Equipment-Swing Quad,
Playground Equipment-Swing Quad,11471,Ceramco Park,Playground Equipment-Swing Quad,
Playground Equipment-Swing Quad,11432,Awaroa Park,Playground Equipment-Swing Quad,
Playground Equipment-Swing Quad,21673,Dallas Reserve,Playground Equipment-Swing Quad,
Playground Equipment-Swing Quad,10368,Blockhouse Bay Recreation Res,Playground Equipment-Swing Quad,
Playground Equipment-Swing Quad,20874,Manuka Park,Playground Equipment-Swing Quad,
Playground Equipment-Swing Quadruple,21521,Shipton Reserve,Playground Equipment-Swing Quadruple,
Playground Equipment-Swing Single,11482,Olympic Park,Playground Equipment-Swing Single,
Playground Equipment-Swing Single,11482,Olympic Park,Playground Equipment-Swing Single,
Playground Equipment-Swing Triple,11367,Fairdene Reserve,Playground Equipment-Swing Triple,
Playground Equipment-Swing Triple,11435,Te Atatu Peninsula Park,Playground Equipment-Swing Triple,
Playground Equipment-Swing Triple,22537,Tatyana Park,Playground Equipment-Swing Triple,
Playground Equipment-Swing Triple,20716,Mckinley Park,Playground Equipment-Swing Triple,
Playground Equipment-Swing Triple,22484,Cutler Reserve,Playground Equipment-Swing Triple,
Playground Equipment-Swing Triple,20883,Marlene Glade,Playground Equipment-Swing Triple,
Playground Equipment-Swing Triple,11346,Sister Rene Shadbolt Park,Playground Equipment-Swing Triple,
Playground Equipment-Swing Triple,22507,Buckingham Common,Playground Equipment-Swing Triple,
Playground Equipment-Swing Triple,21093,Wakeling Park,Playground Equipment-Swing Triple,
Playground Equipment-Swing Triple,11369,Titirangi Beach,Playground Equipment-Swing Triple,
